"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","98","55038  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=1238034009 TSecr=0 SACK_PERM"
"2","0.021828","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","94","443  >  55038 [SYN, ACK, ECE] Seq=0 Ack=1 Win=42840 Len=0 MSS=1440 SACK_PERM TSval=705603342 TSecr=1238034009 WS=512"
"3","0.021928","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1238034031 TSecr=705603342"
"4","0.022607","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","1514","55038  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=1428 TSval=1238034031 TSecr=705603342 [TCP segment of a reassembled PDU]"
"5","0.022641","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.3","721","Client Hello (SNI=meta.wikimedia.org)"
"6","0.047315","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55038 [ACK] Seq=1 Ack=2064 Win=40960 Len=0 TSval=705603371 TSecr=1238034031"
"7","0.047689","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.3","340","Server Hello, Change Cipher Spec, Application Data, Application Data"
"8","0.047748","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2064 Ack=255 Win=131072 Len=0 TSval=1238034057 TSecr=705603371"
"9","0.048294","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.3","166","Change Cipher Spec, Application Data"
"10","0.048633","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.3","178","Application Data"
"11","0.049009","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.3","776","Application Data"
"12","0.074072","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55038 [ACK] Seq=255 Ack=2926 Win=42496 Len=0 TSval=705603398 TSecr=1238034057"
"13","0.074073","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.3","138","Application Data"
"14","0.074233","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2926 Ack=307 Win=131008 Len=0 TSval=1238034084 TSecr=705603398"
"15","0.074488","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.3","117","Application Data"
"16","0.124529","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.3","1228","Application Data"
"17","0.124688","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2957 Ack=1449 Win=129920 Len=0 TSval=1238034134 TSecr=705603446"
"18","0.130562","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55038 [ACK] Seq=1449 Ack=2957 Win=42496 Len=1428 TSval=705603455 TSecr=1238034084 [TCP segment of a reassembled PDU]"
"19","0.130769","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2957 Ack=2877 Win=129600 Len=0 TSval=1238034140 TSecr=705603455"
"20","0.130885","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55038 [PSH, ACK] Seq=2877 Ack=2957 Win=42496 Len=1428 TSval=705603455 TSecr=1238034084 [TCP segment of a reassembled PDU]"
"21","0.130980","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2957 Ack=4305 Win=128192 Len=0 TSval=1238034140 TSecr=705603455"
"22","0.131096","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","[TCP Window Update] 55038  >  443 [ACK] Seq=2957 Ack=4305 Win=131072 Len=0 TSval=1238034140 TSecr=705603455"
"23","0.131820","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55038 [ACK] Seq=4305 Ack=2957 Win=42496 Len=1428 TSval=705603455 TSecr=1238034084 [TCP segment of a reassembled PDU]"
"24","0.131908","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2957 Ack=5733 Win=129600 Len=0 TSval=1238034141 TSecr=705603455"
"25","0.132191","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55038 [PSH, ACK] Seq=5733 Ack=2957 Win=42496 Len=1428 TSval=705603455 TSecr=1238034084 [TCP segment of a reassembled PDU]"
"26","0.132286","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55038  >  443 [ACK] Seq=2957 Ack=7161 Win=129600 Len=0 TSval=1238034141 TSecr=705603455"
