"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=1 Ack=1 Win=31388 Len=1428 TSval=2728088439 TSecr=3590276943 [TCP segment of a reassembled PDU]"
"2","0.000041","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.2","325","Application Data"
"3","0.000088","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=1668 Ack=1 Win=31388 Len=1428 TSval=2728088439 TSecr=3590276943 [TCP segment of a reassembled PDU]"
"4","0.000105","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.2","500","Application Data"
"5","0.022404","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=1 Ack=1668 Win=6109 Len=0 TSval=3590281621 TSecr=2728088439"
"6","0.022816","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=1 Ack=3510 Win=6138 Len=0 TSval=3590281622 TSecr=2728088439"
"7","0.051068","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.2","560","Application Data"
"8","0.051122","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=3984 Ack=1 Win=31388 Len=1428 TSval=2728088490 TSecr=3590281622 [TCP segment of a reassembled PDU]"
"9","0.051151","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.2","500","Application Data"
"10","0.070468","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=1 Ack=5826 Win=6189 Len=0 TSval=3590281670 TSecr=2728088490"
"11","0.089119","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=5826 Ack=1 Win=31388 Len=1428 TSval=2728088528 TSecr=3590281670 [TCP segment of a reassembled PDU]"
"12","0.089146","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.2","325","Application Data"
