"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","207","Application Data"
"2","0.000124","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","125","Application Data"
"3","0.021412","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=1 Ack=161 Win=83 Len=0 TSval=705930184 TSecr=2193417863"
"4","0.021950","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","125","Application Data"
"5","0.022032","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=161 Ack=40 Win=18045 Len=0 TSval=2193417884 TSecr=705930184"
"6","0.022389","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1477","Application Data"
"7","0.022447","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=161 Ack=1431 Win=18024 Len=0 TSval=2193417884 TSecr=705930185"
"8","0.041087","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","179","Application Data"
"9","0.041796","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","121","Application Data"
"10","0.057002","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=1431 Ack=254 Win=83 Len=1428 TSval=705930220 TSecr=2193417904 [TCP segment of a reassembled PDU]"
"11","0.057082","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=289 Ack=2859 Win=18023 Len=0 TSval=2193417920 TSecr=705930220"
"12","0.057477","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","732","Application Data"
"13","0.057528","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=289 Ack=3505 Win=18035 Len=0 TSval=2193417920 TSecr=705930220"
"14","0.057744","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","121","Application Data"
"15","0.075511","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=3505 Ack=324 Win=83 Len=0 TSval=705930238 TSecr=2193417904"
"16","0.397091","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","182","Application Data"
"17","0.419817","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1477","Application Data"
"18","0.420012","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=420 Ack=4896 Win=18024 Len=0 TSval=2193418283 TSecr=705930582"
"19","0.424100","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","175","Application Data"
"20","0.441691","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=4896 Ack=509 Win=83 Len=0 TSval=705930604 TSecr=2193418287"
"21","0.442113","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=4896 Ack=509 Win=83 Len=1428 TSval=705930604 TSecr=2193418287 [TCP segment of a reassembled PDU]"
"22","0.442115","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","959","Application Data"
"23","0.442220","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=509 Ack=7197 Win=18010 Len=0 TSval=2193418305 TSecr=705930604"
"24","0.703499","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","170","Application Data"
"25","0.721861","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=7197 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"26","0.721997","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=593 Ack=8625 Win=18023 Len=0 TSval=2193418585 TSecr=705930885"
"27","0.726211","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=8625 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"28","0.726212","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=10053 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"29","0.726212","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=11481 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"30","0.726213","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=12909 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"31","0.726213","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=14337 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"32","0.726215","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=15765 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"33","0.726215","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=17193 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"34","0.726216","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=18621 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"35","0.726216","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=20049 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"36","0.726217","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","429","Application Data"
"37","0.726217","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=21820 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"38","0.726218","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=23248 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"39","0.726218","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1161","Application Data"
"40","0.726218","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=25751 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"41","0.726219","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=27179 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"42","0.726219","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=28607 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"43","0.726220","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=30035 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"44","0.726221","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=31463 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"45","0.726221","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=32891 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"46","0.726223","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=34319 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"47","0.726224","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=35747 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
"48","0.726224","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=37175 Ack=593 Win=83 Len=1428 TSval=705930885 TSecr=2193418566 [TCP segment of a reassembled PDU]"
