"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","231","Application Data"
"2","0.000093","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","125","Application Data"
"3","0.015007","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=1 Ack=146 Win=83 Len=0 TSval=705697736 TSecr=2193185418"
"4","0.015128","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=1 Ack=185 Win=83 Len=0 TSval=705697736 TSecr=2193185418"
"5","0.015129","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","125","Application Data"
"6","0.015228","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=185 Ack=40 Win=4903 Len=0 TSval=2193185433 TSecr=705697736"
"7","0.035569","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=40 Ack=185 Win=83 Len=1428 TSval=705697757 TSecr=2193185433 [TCP segment of a reassembled PDU]"
"8","0.035733","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=185 Ack=1468 Win=4881 Len=0 TSval=2193185454 TSecr=705697757"
"9","0.035940","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","696","Application Data"
"10","0.036078","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=185 Ack=2078 Win=4894 Len=0 TSval=2193185454 TSecr=705697757"
"11","0.038876","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","121","Application Data"
"12","0.106726","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=2078 Ack=220 Win=83 Len=0 TSval=705697829 TSecr=2193185457"
"13","0.256622","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","74","55038  >  443 [ACK] Seq=1 Ack=1 Win=4279 Len=0"
"14","0.273522","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","[TCP ACKed unseen segment] 443  >  55038 [ACK] Seq=1 Ack=2 Win=83 Len=0 TSval=705697993 TSecr=1238038539"
"15","1.140363","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","198","Application Data"
"16","1.161140","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=2078 Ack=332 Win=83 Len=0 TSval=705698883 TSecr=2193186558"
"17","1.683643","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1252","Application Data"
"18","1.683645","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=3244 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"19","1.683647","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=4672 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"20","1.683650","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=6100 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"21","1.683652","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=7528 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"22","1.683653","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=8956 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"23","1.683656","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [PSH, ACK] Seq=10384 Ack=332 Win=83 Len=1428 TSval=705699336 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"24","1.683657","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=11812 Ack=332 Win=83 Len=1428 TSval=705699337 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"25","1.683659","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=13240 Ack=332 Win=83 Len=1428 TSval=705699337 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"26","1.683661","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=14668 Ack=332 Win=83 Len=1428 TSval=705699337 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"27","1.683663","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=16096 Ack=332 Win=83 Len=1428 TSval=705699337 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"28","1.683665","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=17524 Ack=332 Win=83 Len=1428 TSval=705699337 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"29","1.683667","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","721","Application Data"
"30","1.683668","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=19587 Ack=332 Win=83 Len=1428 TSval=705699338 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"31","1.683669","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","412","Application Data"
"32","1.683672","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","412","[TCP Retransmission] 443  >  55034 [PSH, ACK] Seq=21015 Ack=332 Win=83 Len=326 TSval=705699385 TSecr=2193186558 [TCP segment of a reassembled PDU]"
"33","1.683862","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=332 Ack=17524 Win=4662 Len=0 TSval=2193187102 TSecr=705699337"
"34","1.684018","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=332 Ack=21341 Win=4603 Len=0 TSval=2193187102 TSecr=705699338"
"35","1.684028","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","98","[TCP Dup ACK 34#1] 55034  >  443 [ACK] Seq=332 Ack=21341 Win=4603 Len=0 TSval=2193187102 TSecr=705699385 SLE=21015 SRE=21341"
"36","1.684243","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","[TCP Window Update] 55034  >  443 [ACK] Seq=332 Ack=21341 Win=4904 Len=0 TSval=2193187102 TSecr=705699385"
"37","1.757652","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TLSv1.2","535","Application Data"
"38","1.774763","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55034 [ACK] Seq=21341 Ack=781 Win=83 Len=0 TSval=705699497 TSecr=2193187176"
"39","1.776164","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=21341 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"40","1.776164","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=22769 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"41","1.776165","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=24197 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"42","1.776165","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=25625 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"43","1.776166","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=27053 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"44","1.776166","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [PSH, ACK] Seq=28481 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"45","1.776167","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=29909 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"46","1.776167","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=31337 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"47","1.776168","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=32765 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"48","1.776168","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=34193 Ack=781 Win=83 Len=1428 TSval=705699497 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"49","1.776169","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","463","Application Data"
"50","1.776247","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","55034  >  443 [ACK] Seq=781 Ack=35998 Win=4674 Len=0 TSval=2193187194 TSecr=705699497"
"51","1.776460","2600:8805:3803:6100:c100:e220:6ae:755","2620:0:861:ed1a::1","TCP","86","[TCP Window Update] 55034  >  443 [ACK] Seq=781 Ack=35998 Win=4904 Len=0 TSval=2193187194 TSecr=705699497"
"52","1.777334","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=35998 Ack=781 Win=83 Len=1428 TSval=705699498 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"53","1.777335","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=37426 Ack=781 Win=83 Len=1428 TSval=705699498 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"54","1.777335","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=38854 Ack=781 Win=83 Len=1428 TSval=705699498 TSecr=2193187176 [TCP segment of a reassembled PDU]"
"55","1.777336","2620:0:861:ed1a::1","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55034 [ACK] Seq=40282 Ack=781 Win=83 Len=1428 TSval=705699498 TSecr=2193187176 [TCP segment of a reassembled PDU]"
