"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","98","51538  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=2728006687 TSecr=0 SACK_PERM"
"2","0.020491","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","94","443  >  51538 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64260 Len=0 MSS=1440 SACK_PERM TSval=3590199868 TSecr=2728006687 WS=128"
"3","0.020621","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","86","51538  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2728006708 TSecr=3590199868"
"4","0.021777","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=1428 TSval=2728006709 TSecr=3590199868 [TCP segment of a reassembled PDU]"
"5","0.021824","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.3","698","Client Hello (SNI=weather.com)"
"6","0.043246","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=1 Ack=1429 Win=64128 Len=0 TSval=3590199891 TSecr=2728006709"
"7","0.043727","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=1 Ack=2041 Win=64000 Len=0 TSval=3590199891 TSecr=2728006709"
"8","0.044070","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","350","Server Hello, Change Cipher Spec, Application Data, Application Data"
"9","0.044122","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","86","51538  >  443 [ACK] Seq=2041 Ack=265 Win=131072 Len=0 TSval=2728006731 TSecr=3590199892"
"10","0.045863","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.3","166","Change Cipher Spec, Application Data"
"11","0.069367","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=265 Ack=2121 Win=64128 Len=0 TSval=3590199917 TSecr=2728006733"
"12","0.069700","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","357","Application Data"
"13","0.069770","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","86","51538  >  443 [ACK] Seq=2121 Ack=536 Win=130816 Len=0 TSval=2728006757 TSecr=3590199917"
"14","0.109905","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.3","178","Application Data"
"15","0.110152","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","1514","51538  >  443 [ACK] Seq=2213 Ack=536 Win=131072 Len=1428 TSval=2728006797 TSecr=3590199917 [TCP segment of a reassembled PDU]"
"16","0.110172","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.3","451","Application Data"
"17","0.132703","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","147","Application Data"
"18","0.132787","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","86","51538  >  443 [ACK] Seq=4006 Ack=597 Win=131008 Len=0 TSval=2728006820 TSecr=3590199981"
"19","0.133097","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","117","Application Data"
"20","0.133097","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=628 Ack=4006 Win=64128 Len=0 TSval=3590199981 TSecr=2728006797"
"21","0.133136","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TCP","86","51538  >  443 [ACK] Seq=4006 Ack=628 Win=131008 Len=0 TSval=2728006820 TSecr=3590199981"
"22","0.133318","2600:8805:3803:6100:357c:4644:40b6:e846","2600:1408:ec00:128b::2e03","TLSv1.3","117","Application Data"
"23","0.196862","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51538 [ACK] Seq=628 Ack=4037 Win=64128 Len=0 TSval=3590200044 TSecr=2728006820"
"24","1.070538","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","1464","Application Data"
"25","1.070540","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=2006 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"26","1.070541","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=3434 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"27","1.070542","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=4862 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"28","1.070544","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=6290 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"29","1.070545","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=7718 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"30","1.070548","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=9146 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"31","1.070549","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=10574 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"32","1.070550","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=12002 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"33","1.070553","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=13430 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"34","1.070554","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=14858 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"35","1.070557","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=16286 Ack=4037 Win=64128 Len=1428 TSval=3590200843 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"36","1.070558","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.3","815","Application Data, Application Data"
"37","1.070559","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=18443 Ack=4037 Win=64128 Len=1428 TSval=3590200844 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"38","1.070561","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=19871 Ack=4037 Win=64128 Len=1428 TSval=3590200844 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"39","1.070562","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=21299 Ack=4037 Win=64128 Len=1428 TSval=3590200845 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"40","1.070563","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [PSH, ACK] Seq=22727 Ack=4037 Win=64128 Len=1428 TSval=3590200845 TSecr=2728006820 [TCP segment of a reassembled PDU]"
"41","1.070566","2600:1408:ec00:128b::2e03","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51538 [ACK] Seq=24155 Ack=4037 Win=64128 Len=1428 TSval=3590200846 TSecr=2728006820 [TCP segment of a reassembled PDU]"
