"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.63","162.159.136.232","UDP","1285","62920  >  443 Len=1243"
"2","0.000067","192.168.0.63","162.159.136.232","UDP","187","62920  >  443 Len=145"
"3","0.014566","162.159.136.232","192.168.0.63","UDP","67","443  >  62920 Len=25"
"4","0.074049","162.159.136.232","192.168.0.63","UDP","643","443  >  62920 Len=601"
"5","0.074290","162.159.136.232","192.168.0.63","UDP","74","443  >  62920 Len=32"
"6","0.077485","192.168.0.63","162.159.136.232","UDP","87","62920  >  443 Len=45"
"7","2.125151","192.168.0.63","162.159.137.232","TLSv1.2","459","Application Data"
"8","2.125249","192.168.0.63","162.159.137.232","TLSv1.2","105","Application Data"
"9","2.142912","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=1 Ack=433 Win=8 Len=0 TSval=2678064904 TSecr=4004370166"
"10","2.142912","162.159.137.232","192.168.0.63","TLSv1.2","105","Application Data"
"11","2.143016","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=433 Ack=40 Win=32474 Len=0 TSval=4004370184 TSecr=2678064904"
"12","2.471200","162.159.137.232","192.168.0.63","TLSv1.2","617","Application Data"
"13","2.471349","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=433 Ack=591 Win=32466 Len=0 TSval=4004370512 TSecr=2678065232"
"14","2.471372","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=591 Ack=433 Win=8 Len=1448 TSval=2678065232 TSecr=4004370184 [TCP segment of a reassembled PDU]"
"15","2.471373","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=2039 Ack=433 Win=8 Len=1448 TSval=2678065232 TSecr=4004370184 [TCP segment of a reassembled PDU]"
"16","2.471374","162.159.137.232","192.168.0.63","TLSv1.2","258","Application Data"
"17","2.471456","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=433 Ack=3679 Win=32427 Len=0 TSval=4004370512 TSecr=2678065232"
"18","2.471996","192.168.0.63","162.159.137.232","TCP","66","[TCP Window Update] 51396  >  443 [ACK] Seq=433 Ack=3679 Win=32475 Len=0 TSval=4004370512 TSecr=2678065232"
"19","2.472025","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=3679 Ack=433 Win=8 Len=1448 TSval=2678065233 TSecr=4004370184 [TCP segment of a reassembled PDU]"
"20","2.472026","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=5127 Ack=433 Win=8 Len=1448 TSval=2678065233 TSecr=4004370184 [TCP segment of a reassembled PDU]"
"21","2.472027","162.159.137.232","192.168.0.63","TLSv1.2","1219","Application Data"
"22","2.472029","162.159.137.232","192.168.0.63","TLSv1.2","98","Application Data"
"23","2.472029","162.159.137.232","192.168.0.63","TLSv1.2","97","Application Data"
"24","2.472115","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=433 Ack=7791 Win=32411 Len=0 TSval=4004370512 TSecr=2678065233"
"25","2.473291","192.168.0.63","162.159.137.232","TCP","66","[TCP Window Update] 51396  >  443 [ACK] Seq=433 Ack=7791 Win=32475 Len=0 TSval=4004370514 TSecr=2678065233"
"26","2.473436","192.168.0.63","162.159.137.232","TLSv1.2","101","Application Data"
"27","2.530822","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=7791 Ack=468 Win=8 Len=0 TSval=2678065293 TSecr=4004370514"
"28","2.621511","192.168.0.63","162.159.138.232","UDP","509","51109  >  443 Len=467"
"29","2.631148","162.159.138.232","192.168.0.63","UDP","65","443  >  51109 Len=23"
"30","2.647539","162.159.138.232","192.168.0.63","UDP","992","443  >  51109 Len=950"
"31","2.674368","192.168.0.63","162.159.138.232","UDP","86","51109  >  443 Len=44"
"32","2.727545","192.168.0.63","162.159.137.232","TLSv1.2","325","Application Data"
"33","2.727808","192.168.0.63","162.159.137.232","TLSv1.2","540","Application Data"
"34","2.738461","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=7791 Ack=727 Win=8 Len=0 TSval=2678065500 TSecr=4004370768"
"35","2.742769","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=7791 Ack=1201 Win=8 Len=0 TSval=2678065504 TSecr=4004370768"
"36","2.753369","192.168.0.63","162.159.137.232","TLSv1.2","182","Application Data"
"37","2.763888","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=7791 Ack=1317 Win=8 Len=0 TSval=2678065525 TSecr=4004370794"
"38","2.776628","162.159.137.232","192.168.0.63","TLSv1.2","559","Application Data"
"39","2.776696","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=1317 Ack=8284 Win=32467 Len=0 TSval=4004370817 TSecr=2678065537"
"40","2.779034","162.159.137.232","192.168.0.63","TLSv1.2","99","Application Data"
"41","2.779035","162.159.137.232","192.168.0.63","TLSv1.2","98","Application Data"
"42","2.779035","162.159.137.232","192.168.0.63","TLSv1.2","97","Application Data"
"43","2.779035","162.159.137.232","192.168.0.63","TLSv1.2","534","Application Data"
"44","2.779089","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=1317 Ack=8848 Win=32466 Len=0 TSval=4004370820 TSecr=2678065538"
"45","2.780089","192.168.0.63","162.159.137.232","TLSv1.2","101","Application Data"
"46","2.826940","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=8848 Ack=1352 Win=8 Len=0 TSval=2678065589 TSecr=4004370820"
"47","7.069478","192.168.0.63","162.159.137.232","TLSv1.2","588","Application Data"
"48","7.080383","162.159.137.232","192.168.0.63","TCP","66","443  >  51396 [ACK] Seq=8848 Ack=1874 Win=8 Len=0 TSval=2678069842 TSecr=4004375110"
"49","7.124998","162.159.137.232","192.168.0.63","TLSv1.2","674","Application Data"
"50","7.125175","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=1874 Ack=9456 Win=32466 Len=0 TSval=4004375166 TSecr=2678069884"
"51","7.126660","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=9456 Ack=1874 Win=8 Len=1448 TSval=2678069884 TSecr=4004375110 [TCP segment of a reassembled PDU]"
"52","7.126661","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=10904 Ack=1874 Win=8 Len=1448 TSval=2678069884 TSecr=4004375110 [TCP segment of a reassembled PDU]"
"53","7.126663","162.159.137.232","192.168.0.63","TLSv1.2","163","Application Data"
"54","7.126664","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=12449 Ack=1874 Win=8 Len=1448 TSval=2678069884 TSecr=4004375110 [TCP segment of a reassembled PDU]"
"55","7.126665","162.159.137.232","192.168.0.63","TCP","1514","443  >  51396 [ACK] Seq=13897 Ack=1874 Win=8 Len=1448 TSval=2678069884 TSecr=4004375110 [TCP segment of a reassembled PDU]"
"56","7.126666","162.159.137.232","192.168.0.63","TLSv1.2","800","Application Data"
"57","7.126667","162.159.137.232","192.168.0.63","TLSv1.2","98","Application Data"
"58","7.126668","162.159.137.232","192.168.0.63","TLSv1.2","97","Application Data"
"59","7.126776","192.168.0.63","162.159.137.232","TCP","66","51396  >  443 [ACK] Seq=1874 Ack=16142 Win=32371 Len=0 TSval=4004375167 TSecr=2678069884"
